Detector,Descriptor,ImgNumber,TTC_Lidar,TTC_Camera
BRISK,SIFT,0018,8.53557,11.1861
ORB,BRISK,0001,12.2891,48.2383
ORB,BRISK,0002,13.3547,16.358
ORB,BRISK,0003,16.3845,26.2518
ORB,BRISK,0004,14.0764,11.2797
ORB,BRISK,0005,12.7299,75.7574
ORB,BRISK,0006,13.7511,9.23794
ORB,BRISK,0007,13.7314,19.8118
ORB,BRISK,0008,13.7901,11.4696
ORB,BRISK,0009,12.059,13.665
ORB,BRISK,0010,11.8642,13.6422
ORB,BRISK,0011,11.9682,7.83103
ORB,BRISK,0012,9.88711,-inf
ORB,BRISK,0013,9.42504,7.71469
ORB,BRISK,0014,9.30215,19.265
ORB,BRISK,0015,8.3212,7.86482
ORB,BRISK,0016,8.89867,9.7605
ORB,BRISK,0017,11.0301,7.95268
ORB,BRISK,0018,8.53557,740.643
ORB,BRIEF,0001,12.2891,14.4902
ORB,BRIEF,0002,13.3547,25.279
ORB,BRIEF,0003,16.3845,52.9908
ORB,BRIEF,0004,14.0764,11.9782
ORB,BRIEF,0005,12.7299,40.7146
ORB,BRIEF,0006,13.7511,13.3056
ORB,BRIEF,0007,13.7314,12.6004
ORB,BRIEF,0008,13.7901,31.9967
ORB,BRIEF,0009,12.059,43.8297
ORB,BRIEF,0010,11.8642,213.902
ORB,BRIEF,0011,11.9682,14.7168
ORB,BRIEF,0012,9.88711,12.4031
ORB,BRIEF,0013,9.42504,9.97784
ORB,BRIEF,0014,9.30215,12.3517
ORB,BRIEF,0015,8.3212,6.76137
ORB,BRIEF,0016,8.89867,12.7097
ORB,BRIEF,0017,11.0301,7.71348
ORB,BRIEF,0018,8.53557,21.8093
ORB,ORB,0001,12.2891,29.0145
ORB,ORB,0002,13.3547,9.75067
ORB,ORB,0003,16.3845,29.0873
ORB,ORB,0004,14.0764,11.9309
ORB,ORB,0005,12.7299,-inf
ORB,ORB,0006,13.7511,11.1989
ORB,ORB,0007,13.7314,-inf
ORB,ORB,0008,13.7901,11.2326
ORB,ORB,0009,12.059,-inf
ORB,ORB,0010,11.8642,15.5532
ORB,ORB,0011,11.9682,7.44293
ORB,ORB,0012,9.88711,54.3098
ORB,ORB,0013,9.42504,10.2467
ORB,ORB,0014,9.30215,6.63875
ORB,ORB,0015,8.3212,9.37402
ORB,ORB,0016,8.89867,9.37082
ORB,ORB,0017,11.0301,7.4699
ORB,ORB,0018,8.53557,740.643
ORB,FREAK,0001,12.2891,30.0651
ORB,FREAK,0002,13.3547,47.92
ORB,FREAK,0003,16.3845,30.1864
ORB,FREAK,0004,14.0764,10.8492
ORB,FREAK,0005,12.7299,156.224
ORB,FREAK,0006,13.7511,10.2374
ORB,FREAK,0007,13.7314,127.339
ORB,FREAK,0008,13.7901,8.91581
ORB,FREAK,0009,12.059,12.0863
ORB,FREAK,0010,11.8642,10.998
ORB,FREAK,0011,11.9682,5.19169
ORB,FREAK,0012,9.88711,54.3098
ORB,FREAK,0013,9.42504,5.29697
ORB,FREAK,0014,9.30215,63.442
ORB,FREAK,0015,8.3212,8.12918
ORB,FREAK,0016,8.89867,7.31846
ORB,FREAK,0017,11.0301,nan
ORB,FREAK,0018,8.53557,nan
ORB,SIFT,0001,12.2891,14.4902
ORB,SIFT,0002,13.3547,8.73925
ORB,SIFT,0003,16.3845,37.9365
ORB,SIFT,0004,14.0764,22.822
ORB,SIFT,0005,12.7299,67.9649
ORB,SIFT,0006,13.7511,19.89
ORB,SIFT,0007,13.7314,-inf
ORB,SIFT,0008,13.7901,11.0898
ORB,SIFT,0009,12.059,13.1157
ORB,SIFT,0010,11.8642,11.3164
ORB,SIFT,0011,11.9682,9.54448
ORB,SIFT,0012,9.88711,-inf
ORB,SIFT,0013,9.42504,7.19392
ORB,SIFT,0014,9.30215,18.6477
ORB,SIFT,0015,8.3212,9.59119
ORB,SIFT,0016,8.89867,8.34513
ORB,SIFT,0017,11.0301,7.59615
ORB,SIFT,0018,8.53557,-618.725
AKAZE,AKAZE,0001,12.2891,12.273
AKAZE,AKAZE,0002,13.3547,17.8695
AKAZE,AKAZE,0003,16.3845,13.0412
AKAZE,AKAZE,0004,14.0764,14.8469
AKAZE,AKAZE,0005,12.7299,17.1888
AKAZE,AKAZE,0006,13.7511,14.8422
AKAZE,AKAZE,0007,13.7314,15.8042
AKAZE,AKAZE,0008,13.7901,13.9742
AKAZE,AKAZE,0009,12.059,16.6162
AKAZE,AKAZE,0010,11.8642,11.4778
AKAZE,AKAZE,0011,11.9682,11.7151
AKAZE,AKAZE,0012,9.88711,11.2962
AKAZE,AKAZE,0013,9.42504,10.0855
AKAZE,AKAZE,0014,9.30215,10.1261
AKAZE,AKAZE,0015,8.3212,9.39835
AKAZE,AKAZE,0016,8.89867,9.10166
AKAZE,AKAZE,0017,11.0301,9.1282
AKAZE,AKAZE,0018,8.53557,8.82945
SIFT,BRISK,0001,12.2891,15.2772
SIFT,BRISK,0002,13.3547,14.1989
SIFT,BRISK,0003,16.3845,16.0946
SIFT,BRISK,0004,14.0764,21.2361
SIFT,BRISK,0005,12.7299,14.4045
SIFT,BRISK,0006,13.7511,11.4817
SIFT,BRISK,0007,13.7314,14.0702
SIFT,BRISK,0008,13.7901,14.8895
SIFT,BRISK,0009,12.059,11.8769
SIFT,BRISK,0010,11.8642,10.9699
SIFT,BRISK,0011,11.9682,13.5956
SIFT,BRISK,0012,9.88711,10.2283
SIFT,BRISK,0013,9.42504,10.6232
SIFT,BRISK,0014,9.30215,9.09664
SIFT,BRISK,0015,8.3212,9.97156
SIFT,BRISK,0016,8.89867,8.71003
SIFT,BRISK,0017,11.0301,11.7664
SIFT,BRISK,0018,8.53557,10.4009
SIFT,BRIEF,0001,12.2891,14.1476
SIFT,BRIEF,0002,13.3547,12.8991
SIFT,BRIEF,0003,16.3845,15.5568
SIFT,BRIEF,0004,14.0764,19.7153
SIFT,BRIEF,0005,12.7299,14.4616
SIFT,BRIEF,0006,13.7511,12.4384
SIFT,BRIEF,0007,13.7314,13.7821
SIFT,BRIEF,0008,13.7901,15.0083
SIFT,BRIEF,0009,12.059,11.7346
SIFT,BRIEF,0010,11.8642,11.3314
SIFT,BRIEF,0011,11.9682,14.7605
SIFT,BRIEF,0012,9.88711,10.2647
SIFT,BRIEF,0013,9.42504,10.9145
SIFT,BRIEF,0014,9.30215,7.93016
SIFT,BRIEF,0015,8.3212,10.5142
SIFT,BRIEF,0016,8.89867,9.0902
SIFT,BRIEF,0017,11.0301,9.59727
SIFT,BRIEF,0018,8.53557,9.36821
SIFT,FREAK,0001,12.2891,14.3016
SIFT,FREAK,0002,13.3547,14.8783
SIFT,FREAK,0003,16.3845,16.196
SIFT,FREAK,0004,14.0764,23.3352
SIFT,FREAK,0005,12.7299,19.07
SIFT,FREAK,0006,13.7511,16.698
SIFT,FREAK,0007,13.7314,14.2842
